full_date,day,day_name,day_of_week,week_of_year,month,month_name,quarter,year,is_weekend
17-05-2023,17,Wednesday,3,20,5,May,2,2023,N
18-05-2023,18,Thursday,4,20,5,May,2,2023,N
19-05-2023,19,Friday,5,20,5,May,2,2023,N
20-05-2023,20,Saturday,6,20,5,May,2,2023,Y
21-05-2023,21,Sunday,7,20,5,May,2,2023,Y
22-05-2023,22,Monday,1,21,5,May,2,2023,N
23-05-2023,23,Tuesday,2,21,5,May,2,2023,N
24-05-2023,24,Wednesday,3,21,5,May,2,2023,N
25-05-2023,25,Thursday,4,21,5,May,2,2023,N
26-05-2023,26,Friday,5,21,5,May,2,2023,N
27-05-2023,27,Saturday,6,21,5,May,2,2023,Y
28-05-2023,28,Sunday,7,21,5,May,2,2023,Y
29-05-2023,29,Monday,1,22,5,May,2,2023,N
30-05-2023,30,Tuesday,2,22,5,May,2,2023,N
31-05-2023,31,Wednesday,3,22,5,May,2,2023,N
01-06-2023,1,Thursday,4,22,6,June,2,2023,N
02-06-2023,2,Friday,5,22,6,June,2,2023,N
03-06-2023,3,Saturday,6,22,6,June,2,2023,Y
04-06-2023,4,Sunday,7,22,6,June,2,2023,Y
05-06-2023,5,Monday,1,23,6,June,2,2023,N
06-06-2023,6,Tuesday,2,23,6,June,2,2023,N
07-06-2023,7,Wednesday,3,23,6,June,2,2023,N
08-06-2023,8,Thursday,4,23,6,June,2,2023,N
09-06-2023,9,Friday,5,23,6,June,2,2023,N
10-06-2023,10,Saturday,6,23,6,June,2,2023,Y
11-06-2023,11,Sunday,7,23,6,June,2,2023,Y
12-06-2023,12,Monday,1,24,6,June,2,2023,N
13-06-2023,13,Tuesday,2,24,6,June,2,2023,N
14-06-2023,14,Wednesday,3,24,6,June,2,2023,N
15-06-2023,15,Thursday,4,24,6,June,2,2023,N
16-06-2023,16,Friday,5,24,6,June,2,2023,N
17-06-2023,17,Saturday,6,24,6,June,2,2023,Y
18-06-2023,18,Sunday,7,24,6,June,2,2023,Y
19-06-2023,19,Monday,1,25,6,June,2,2023,N
20-06-2023,20,Tuesday,2,25,6,June,2,2023,N
21-06-2023,21,Wednesday,3,25,6,June,2,2023,N
22-06-2023,22,Thursday,4,25,6,June,2,2023,N
23-06-2023,23,Friday,5,25,6,June,2,2023,N
24-06-2023,24,Saturday,6,25,6,June,2,2023,Y
25-06-2023,25,Sunday,7,25,6,June,2,2023,Y
26-06-2023,26,Monday,1,26,6,June,2,2023,N
27-06-2023,27,Tuesday,2,26,6,June,2,2023,N
28-06-2023,28,Wednesday,3,26,6,June,2,2023,N
29-06-2023,29,Thursday,4,26,6,June,2,2023,N
30-06-2023,30,Friday,5,26,6,June,2,2023,N
01-07-2023,1,Saturday,6,26,7,July,3,2023,Y
02-07-2023,2,Sunday,7,26,7,July,3,2023,Y
03-07-2023,3,Monday,1,27,7,July,3,2023,N
04-07-2023,4,Tuesday,2,27,7,July,3,2023,N
05-07-2023,5,Wednesday,3,27,7,July,3,2023,N
06-07-2023,6,Thursday,4,27,7,July,3,2023,N
07-07-2023,7,Friday,5,27,7,July,3,2023,N
08-07-2023,8,Saturday,6,27,7,July,3,2023,Y
09-07-2023,9,Sunday,7,27,7,July,3,2023,Y
10-07-2023,10,Monday,1,28,7,July,3,2023,N
11-07-2023,11,Tuesday,2,28,7,July,3,2023,N
12-07-2023,12,Wednesday,3,28,7,July,3,2023,N
13-07-2023,13,Thursday,4,28,7,July,3,2023,N
14-07-2023,14,Friday,5,28,7,July,3,2023,N
15-07-2023,15,Saturday,6,28,7,July,3,2023,Y
16-07-2023,16,Sunday,7,28,7,July,3,2023,Y
17-07-2023,17,Monday,1,29,7,July,3,2023,N
18-07-2023,18,Tuesday,2,29,7,July,3,2023,N
19-07-2023,19,Wednesday,3,29,7,July,3,2023,N
20-07-2023,20,Thursday,4,29,7,July,3,2023,N
21-07-2023,21,Friday,5,29,7,July,3,2023,N
22-07-2023,22,Saturday,6,29,7,July,3,2023,Y
23-07-2023,23,Sunday,7,29,7,July,3,2023,Y
24-07-2023,24,Monday,1,30,7,July,3,2023,N
25-07-2023,25,Tuesday,2,30,7,July,3,2023,N
26-07-2023,26,Wednesday,3,30,7,July,3,2023,N
27-07-2023,27,Thursday,4,30,7,July,3,2023,N
28-07-2023,28,Friday,5,30,7,July,3,2023,N
29-07-2023,29,Saturday,6,30,7,July,3,2023,Y
30-07-2023,30,Sunday,7,30,7,July,3,2023,Y
31-07-2023,31,Monday,1,31,7,July,3,2023,N
01-08-2023,1,Tuesday,2,31,8,August,3,2023,N
02-08-2023,2,Wednesday,3,31,8,August,3,2023,N
03-08-2023,3,Thursday,4,31,8,August,3,2023,N
04-08-2023,4,Friday,5,31,8,August,3,2023,N
05-08-2023,5,Saturday,6,31,8,August,3,2023,Y
06-08-2023,6,Sunday,7,31,8,August,3,2023,Y
07-08-2023,7,Monday,1,32,8,August,3,2023,N
08-08-2023,8,Tuesday,2,32,8,August,3,2023,N
09-08-2023,9,Wednesday,3,32,8,August,3,2023,N
10-08-2023,10,Thursday,4,32,8,August,3,2023,N
11-08-2023,11,Friday,5,32,8,August,3,2023,N
12-08-2023,12,Saturday,6,32,8,August,3,2023,Y
13-08-2023,13,Sunday,7,32,8,August,3,2023,Y
14-08-2023,14,Monday,1,33,8,August,3,2023,N
15-08-2023,15,Tuesday,2,33,8,August,3,2023,N
16-08-2023,16,Wednesday,3,33,8,August,3,2023,N
17-08-2023,17,Thursday,4,33,8,August,3,2023,N
18-08-2023,18,Friday,5,33,8,August,3,2023,N
19-08-2023,19,Saturday,6,33,8,August,3,2023,Y
20-08-2023,20,Sunday,7,33,8,August,3,2023,Y
21-08-2023,21,Monday,1,34,8,August,3,2023,N
22-08-2023,22,Tuesday,2,34,8,August,3,2023,N
23-08-2023,23,Wednesday,3,34,8,August,3,2023,N
24-08-2023,24,Thursday,4,34,8,August,3,2023,N
25-08-2023,25,Friday,5,34,8,August,3,2023,N
26-08-2023,26,Saturday,6,34,8,August,3,2023,Y
27-08-2023,27,Sunday,7,34,8,August,3,2023,Y
